service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
4868818;2020-10-01;CUT EXCESSIVE HIGH GRASS AND WEEDS IN THE FRONT AND REAR OF THE PROPERTY AND REMOVE ALL EXTERIOR DEBRIS AND CHATTEL INCLUDING DEBRIS ON THE ROOF OF THE PROPERTY;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-11;CE-Weeds Occupied Property;Parkway Village
4869380;2020-10-02;Court date set for 7/30/2021 @ 9:00am Excessive Junk and debris at this house;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-07-30;CE-Junky Yard;Parkway Village
4900538;2020-10-27;Weeds Occupied House;Weeds;Closed, Other;2021-02-22;CE-Weeds Occupied Property;Parkway Village
4939966;2020-11-19;Extreme junkyard, inoperable vehicles, open storage, chattels in backyard.;Inspection-Junky Yard;Closed Void;2021-03-01;CE-Junky Yard;Parkway Village
4949188;2020-11-24;Parkig in yard,trailers, junky yard;Inspection-Junky Yard;Closed, Other;2021-04-13;CE-Junky Yard;Parkway Village
4969210;2020-12-07;Inoperable vehicles in front and back yards, open storage and chattels, with high grass and weeds.;Inspection-Junky Yard;Closed Void;2021-01-29;CE-Junky Yard;Parkway Village
4969358;2020-12-07;Junky yards, parking on grass, rubbish, trash, debris and open storage, chattels.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Parkway Village
4969222;2020-12-07;Open storage item,  chattels, and in driveway and yards.;Inspection-Junky Yard;Closed Void;2021-02-10;CE-Junky Yard;Parkway Village
4971204;2020-12-08;Backyard junk near back door;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
4994508;2020-12-22;Parking on grass in back yard, open storage and tires.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-19;CE-Junky Yard;Parkway Village
4994504;2020-12-22;Open storage and tires in back yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-13;CE-Junky Yard;Parkway Village
5013260;2020-12-31;front yard awful junky--eyesorer;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-01;CE-Junky Yard;Parkway Village
5013294;2020-12-31;Backyard  junk & disabled  inoperable vehicles in the backyard & some on the grass /-;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-16;CE-Junky Yard;Parkway Village
5011168;2020-12-31;Extreme junkyard with open storage, chattels, autos, rubbish,  debris, trash and trailer on grass in both yards.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-04;CE-Junky Yard;Parkway Village
5020488;2021-01-04;Extreme junky back yard. RV, motorcycle, boat on trailer, utility trailer, parked in backyard on grass. Open storage items in backyard also.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-05;CE-Junky Yard;Parkway Village
5020352;2021-01-04;Junky yard and debris.;Inspection-Junky Yard;Closed, Other;2021-04-21;CE-Junky Yard;Parkway Village
5027458;2021-01-07;JUNKY YARD 2nd notice;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
