Offense Date,UCR Description,UCR Category,Zip Code
2021-01-05 15:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-05 15:29:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-05 17:36:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-05 18:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-05 19:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-05 19:45:00+00:00,ROBBERY,ROBBERY,38128
2021-01-06 00:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-06 02:35:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-06 08:00:00+00:00,FALSE PRETENSES/SWIN/CONF,FRAUD,38128
2021-01-06 08:35:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-06 09:20:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-06 12:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-06 12:45:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-06 15:01:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-06 17:40:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-06 18:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-06 19:13:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-06 19:35:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-06 20:08:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-06 22:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-06 23:00:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-07 00:44:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-07 12:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-07 14:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-07 16:20:00+00:00,ROBBERY,ROBBERY,38128
2021-01-07 17:18:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38128
2021-01-07 19:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
