Offense Date,UCR Description,UCR Category,Zip Code
2021-01-06 17:51:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-06 18:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-06 19:40:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-06 20:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-06 20:53:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-06 21:48:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-06 22:30:00+00:00,ROBBERY,ROBBERY,38114
2021-01-06 22:30:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-06 23:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-07 01:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-07 02:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-07 08:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-07 10:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-07 10:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-07 10:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-07 12:55:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-07 14:34:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-07 15:13:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-07 15:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-07 16:30:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-07 20:26:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-07 21:40:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-07 22:38:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-08 01:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-08 01:33:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-08 06:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-08 08:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-08 11:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-08 11:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-08 11:20:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-08 15:23:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-08 17:00:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-08 18:01:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-08 18:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-08 19:59:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-08 22:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-08 22:22:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
